Area,Year,Kilotonnes
Brazil,1961,3813.6222
Brazil,1962,3932.8829
Brazil,1963,4085.2569
Brazil,1964,4242.3628
Brazil,1965,4410.4312
Brazil,1966,4508.0844
Brazil,1967,4654.0167
Brazil,1968,4805.8836
Brazil,1969,4966.6272
Brazil,1970,5137.2613
Brazil,1971,5310.2311
Brazil,1972,5555.4735
Brazil,1973,5718.889
Brazil,1974,6024.1117
Brazil,1975,6224.1408
Brazil,1976,6842.5083
Brazil,1977,7134.5685
Brazil,1978,7085.2173
Brazil,1979,7230.8402
Brazil,1980,7873.3016
Brazil,1981,8033.7565
Brazil,1982,8134.7177
Brazil,1983,8104.2342
Brazil,1984,8346.3972
Brazil,1985,8365.0772
Brazil,1986,8668.4439
Brazil,1987,8911.3601
Brazil,1988,9144.4767
Brazil,1989,9378.6739
Brazil,1990,10130.2113
Brazil,1991,10455.8119
Brazil,1992,10622.3512
Brazil,1993,10626.5437
Brazil,1994,10821.0223
Brazil,1995,11006.6961
Brazil,1996,10782.2435
Brazil,1997,11125.2942
Brazil,1998,12017.2825
Brazil,1999,11730.5863
Brazil,2000,10922.7311
Brazil,2001,11372.2842
Brazil,2002,12238.4446
Brazil,2003,12696.4454
Brazil,2004,13367.2882
Brazil,2005,13684.9685
Brazil,2006,13137.9672
Brazil,2007,13486.5553
Brazil,2008,12937.8329
Brazil,2009,12928.8613
Brazil,2010,14078.8462
Brazil,2011,13501.7584
Brazil,2012,13662.1332
Brazil,2013,13299.2518
Brazil,2014,13525.4391
Brazil,2015,13885.8408
Brazil,2016,13899.5566
Brazil,2017,13909.2828
Brazil,2018,13356.9658
Brazil,2019,13784.8003
China,1961,8813.4245
China,1962,8826.5366
China,1963,9134.8915
China,1964,9797.6081
China,1965,10077.2291
China,1966,10482.8395
China,1967,10694.6732
China,1968,10728.9639
China,1969,10868.023
China,1970,11168.8555
China,1971,11802.0609
China,1972,12021.7051
China,1973,12055.1067
China,1974,12222.2901
China,1975,12292.9301
China,1976,12418.6575
China,1977,12177.6708
China,1978,11949.3618
China,1979,11924.6936
China,1980,12077.0894
China,1981,11967.6748
China,1982,11980.2118
China,1983,12171.7952
China,1984,12199.7433
China,1985,12198.3275
China,1986,12538.8251
China,1987,12848.6824
China,1988,12939.1658
China,1989,13388.1923
China,1990,13812.3339
China,1991,13985.0403
China,1992,13966.073
China,1993,13847.1193
China,1994,14162.1056
China,1995,14975.7537
China,1996,15813.6971
China,1997,14336.7744
China,1998,15015.1532
China,1999,15263.0487
China,2000,15214.1497
China,2001,14771.1055
China,2002,14360.5228
China,2003,14033.0407
China,2004,14389.4848
China,2005,14519.8366
China,2006,14459.4019
China,2007,14103.5844
China,2008,14313.9677
China,2009,14219.7364
China,2010,14126.2162
China,2011,13926.3965
China,2012,13832.2371
China,2013,13809.5977
China,2014,13836.5082
China,2015,13973.1
China,2016,14023.804
China,2017,13767.6497
China,2018,13493.0204
China,2019,13084.928
France,1961,1998.0132
France,1962,2061.7863
France,1963,2022.8452
France,1964,1998.0307
France,1965,2021.2306
France,1966,2046.6176
France,1967,2101.618
France,1968,2138.6117
France,1969,2114.6743
France,1970,2126.0771
France,1971,2139.2741
France,1972,2145.3606
France,1973,2206.3933
France,1974,2286.6323
France,1975,2310.1715
France,1976,2310.8348
France,1977,2293.8176
France,1978,2291.5733
France,1979,2304.6954
France,1980,2299.3904
France,1981,2290.3432
France,1982,2278.3814
France,1983,2286.1972
France,1984,2286.5731
France,1985,2232.2031
France,1986,2212.2695
France,1987,2103.8337
France,1988,2029.3171
France,1989,2015.5038
France,1990,2017.03
France,1991,1960.0869
France,1992,1915.9936
France,1993,1895.0989
France,1994,1895.5263
France,1995,1893.8871
France,1996,1886.8568
France,1997,1859.5777
France,1998,1845.3235
France,1999,1840.8624
France,2000,1926.6011
France,2001,1921.8136
France,2002,1872.2806
France,2003,1815.8459
France,2004,1791.9843
France,2005,1778.8603
France,2006,1773.2191
France,2007,1794.377
France,2008,1802.2067
France,2009,1778.5858
France,2010,1757.0117
France,2011,1716.9843
France,2012,1707.3672
France,2013,1712.1339
France,2014,1718.747
France,2015,1721.3486
France,2016,1713.5684
France,2017,1686.5937
France,2018,1665.1279
France,2019,1630.588
India,1961,13250.724
India,1962,13251.6809
India,1963,13231.2195
India,1964,13371.6457
India,1965,13264.9678
India,1966,13474.8538
India,1967,13578.5884
India,1968,13741.251
India,1969,13890.164
India,1970,13885.7779
India,1971,14015.8657
India,1972,14020.5007
India,1973,14186.1376
India,1974,14254.6509
India,1975,14497.7389
India,1976,14533.2324
India,1977,14827.4365
India,1978,15016.4999
India,1979,15138.3701
India,1980,15397.5012
India,1981,15646.2717
India,1982,15672.3207
India,1983,16193.5892
India,1984,16369.8104
India,1985,16510.6813
India,1986,16705.6873
India,1987,16515.8617
India,1988,16968.6212
India,1989,17155.2328
India,1990,17531.0358
India,1991,17677.1384
India,1992,17778.4384
India,1993,17924.8212
India,1994,18028.5557
India,1995,18099.6479
India,1996,18208.1878
India,1997,18227.8955
India,1998,18375.4051
India,1999,18479.9248
India,2000,18369.8192
India,2001,18397.7266
India,2002,18028.6418
India,2003,18310.5049
India,2004,18523.7425
India,2005,18917.5805
India,2006,19194.2129
India,2007,19611.7101
India,2008,19757.592
India,2009,19547.8655
India,2010,19619.7351
India,2011,19635.694
India,2012,19624.8506
India,2013,19694.03
India,2014,19671.4002
India,2015,19687.0991
India,2016,19795.9246
India,2017,20013.4644
India,2018,20129.6552
India,2019,20090.5871
USA,1961,8771.6993
USA,1962,8946.6938
USA,1963,9093.2367
USA,1964,9177.3663
USA,1965,9084.8934
USA,1966,8929.1029
USA,1967,8934.7227
USA,1968,8953.0426
USA,1969,8908.5042
USA,1970,8906.4838
USA,1971,9143.3818
USA,1972,9225.4332
USA,1973,9395.8432
USA,1974,9778.854
USA,1975,9951.6562
USA,1976,9601.5935
USA,1977,9343.8415
USA,1978,9100.718
USA,1979,8834.3188
USA,1980,9020.6582
USA,1981,9242.7051
USA,1982,9165.6818
USA,1983,8902.8391
USA,1984,8919.9029
USA,1985,8661.2401
USA,1986,8358.7961
USA,1987,8099.8692
USA,1988,8078.733
USA,1989,7896.7558
USA,1990,7936.4043
USA,1991,7986.7159
USA,1992,8091.6972
USA,1993,8106.635
USA,1994,8293.453
USA,1995,8323.2706
USA,1996,8340.3592
USA,1997,8267.5558
USA,1998,8227.8534
USA,1999,8202.7061
USA,2000,8094.908
USA,2001,7989.5791
USA,2002,7985.673
USA,2003,7943.8108
USA,2004,7951.8124
USA,2005,8011.3645
USA,2006,8023.9693
USA,2007,8058.6193
USA,2008,8129.5922
USA,2009,8005.6696
USA,2010,8023.5387
USA,2011,7889.7748
USA,2012,7799.471
USA,2013,7677.2177
USA,2014,7699.3219
USA,2015,7731.681
USA,2016,7970.5263
USA,2017,8022.2733
USA,2018,8159.5731
USA,2019,8131.612
